id,category,query,answer,expected_answer,sources,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 4 giờ [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,"[{'access': 'internal', 'department': 'IT', 'section': 'Phần 2: SLA theo mức độ ưu tiên', 'effective_date': '2026-01-15', 'source': 'support/sla-p1-2026.pdf'}, {'effective_date': '2026-01-15', 'source': 'support/sla-p1-2026.pdf', 'section': 'Phần 4: Công cụ và kênh liên lạc', 'access': 'internal', 'department': 'IT'}, {'department': 'IT Security', 'access': 'internal', 'effective_date': '2026-01-01', 'section': 'Section 4: Escalation khi cần thay đổi quyền hệ thống', 'source': 'it/access-control-sop.md'}]",5,Thông tin trong câu trả lời hoàn toàn xuất phát từ tài liệu retrieved,5,Câu trả lời đã trực tiếp và đầy đủ giải quyết trọng tâm của câu hỏi.,5,Recall=100% (1/1),3,Câu trả lời đã đề cập đến thời gian xử lý ticket P1 là 4 giờ nhưng thiếu thông tin về SLA phản hồi ban đầu là 15 phút.,baseline_dense
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,"[{'source': 'policy/refund-v4.pdf', 'effective_date': '2026-02-01', 'department': 'CS', 'access': 'internal', 'section': 'Điều 2: Điều kiện được hoàn tiền'}, {'section': 'Điều 4: Quy trình xử lý yêu cầu hoàn tiền', 'department': 'CS', 'access': 'internal', 'effective_date': '2026-02-01', 'source': 'policy/refund-v4.pdf'}, {'effective_date': '2026-01-01', 'section': 'Phần 1: Các loại nghỉ phép', 'access': 'internal', 'source': 'hr/leave-policy-2026.pdf', 'department': 'HR'}]",5,Tất cả thông tin trong câu trả lời đều xuất phát từ tài liệu đã được truy xuất.,5,Câu trả lời đã cung cấp thông tin cụ thể và đầy đủ về thời gian khách hàng có thể yêu cầu hoàn tiền.,5,Recall=100% (1/1),5,"Câu trả lời đã bao gồm đầy đủ thông tin quan trọng, không thiếu sót chi tiết nào so với câu trả lời mong đợi.",baseline_dense
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần phải được phê duyệt bởi Line Manager, IT Admin và IT Security [2].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.","[{'effective_date': '2026-01-01', 'access': 'internal', 'section': 'Section 5: Thu hồi quyền truy cập', 'department': 'IT Security', 'source': 'it/access-control-sop.md'}, {'effective_date': '2026-01-01', 'source': 'it/access-control-sop.md', 'department': 'IT Security', 'access': 'internal', 'section': 'Section 2: Phân cấp quyền truy cập'}, {'effective_date': '2026-01-01', 'section': 'Section 1: Phạm vi và mục đích', 'department': 'IT Security', 'source': 'it/access-control-sop.md', 'access': 'internal'}]",5,Tất cả thông tin trong câu trả lời đều xuất phát từ tài liệu đã được truy xuất.,5,"Câu trả lời đã nêu rõ những người cần phê duyệt để cấp quyền Level 3, trả lời trực tiếp và đầy đủ cho câu hỏi.",5,Recall=100% (1/1),5,Câu trả lời đã bao gồm đầy đủ tất cả các thông tin quan trọng.,baseline_dense
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm thuộc danh mục hàng kỹ thuật số như license key, subscription không được hoàn tiền [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.","[{'source': 'policy/refund-v4.pdf', 'department': 'CS', 'access': 'internal', 'effective_date': '2026-02-01', 'section': 'Điều 3: Điều kiện áp dụng và ngoại lệ'}, {'department': 'CS', 'section': 'Điều 2: Điều kiện được hoàn tiền', 'source': 'policy/refund-v4.pdf', 'effective_date': '2026-02-01', 'access': 'internal'}, {'source': 'support/helpdesk-faq.md', 'section': 'Section 4: Thiết bị và phần cứng', 'effective_date': '2026-01-20', 'department': 'IT', 'access': 'internal'}]",5,Tất cả thông tin trong câu trả lời đều xuất phát từ tài liệu đã được truy xuất.,5,Câu trả lời đã trực tiếp và đầy đủ giải quyết trọng tâm của câu hỏi.,5,Recall=100% (1/1),5,"Câu trả lời đã bao gồm đầy đủ thông tin quan trọng, không bỏ sót chi tiết nào so với câu trả lời mong đợi.",baseline_dense
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,Tài khoản sẽ bị khóa sau 5 lần đăng nhập sai liên tiếp [1].,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,"[{'access': 'internal', 'source': 'support/helpdesk-faq.md', 'section': 'Section 1: Tài khoản và mật khẩu', 'effective_date': '2026-01-20', 'department': 'IT'}, {'effective_date': '2026-02-01', 'section': 'Điều 2: Điều kiện được hoàn tiền', 'department': 'CS', 'source': 'policy/refund-v4.pdf', 'access': 'internal'}, {'effective_date': '2026-02-01', 'department': 'CS', 'section': 'Điều 3: Điều kiện áp dụng và ngoại lệ', 'source': 'policy/refund-v4.pdf', 'access': 'internal'}]",5,Tất cả thông tin trong câu trả lời đều xuất phát từ tài liệu đã được truy xuất.,5,Câu trả lời đã cung cấp thông tin cụ thể và chính xác về số lần đăng nhập sai tối đa trước khi tài khoản bị khóa.,5,Recall=100% (1/1),5,"Câu trả lời đã bao gồm đầy đủ thông tin cần thiết, không thiếu sót chi tiết nào so với câu trả lời mong đợi.",baseline_dense
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,Escalation trong sự cố P1 sẽ tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút [2].,Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,"[{'source': 'support/sla-p1-2026.pdf', 'access': 'internal', 'section': 'Phần 5: Lịch sử phiên bản', 'department': 'IT', 'effective_date': '2026-01-15'}, {'department': 'IT', 'section': 'Phần 2: SLA theo mức độ ưu tiên', 'source': 'support/sla-p1-2026.pdf', 'access': 'internal', 'effective_date': '2026-01-15'}, {'access': 'internal', 'department': 'IT', 'source': 'support/sla-p1-2026.pdf', 'section': 'Phần 1: Định nghĩa mức độ ưu tiên', 'effective_date': '2026-01-15'}]",5,Tất cả thông tin trong câu trả lời đều xuất phát từ context đã được trích xuất.,5,"Câu trả lời đã trực tiếp và đầy đủ giải quyết trọng tâm của câu hỏi, đưa ra thông tin về quy trình escalation trong sự cố P1.",5,Recall=100% (1/1),4,"Câu trả lời đã bao gồm thông tin về việc escalate lên Senior Engineer và thời gian 10 phút. Tuy nhiên, nó thiếu chi tiết về việc thời gian 10 phút được tính từ khi tạo ticket.",baseline_dense
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,Không đủ dữ liệu trong tài liệu hiện có để trả lời câu hỏi này.,Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,"[{'access': 'internal', 'effective_date': '2026-01-01', 'section': 'Section 1: Phạm vi và mục đích', 'source': 'it/access-control-sop.md', 'department': 'IT Security'}, {'source': 'policy/refund-v4.pdf', 'access': 'internal', 'effective_date': '2026-02-01', 'department': 'CS', 'section': 'Điều 1: Phạm vi áp dụng'}, {'section': 'Section 3: Quy trình yêu cầu cấp quyền', 'effective_date': '2026-01-01', 'source': 'it/access-control-sop.md', 'access': 'internal', 'department': 'IT Security'}]",5,"Câu trả lời không đưa ra bất kỳ thông tin cụ thể nào, do đó không có thông tin nào không xuất phát từ tài liệu retrieved.",1,Câu trả lời không cung cấp thông tin về Approval Matrix để cấp quyền hệ thống là tài liệu nào.,5,Recall=100% (1/1),1,Câu trả lời không cung cấp bất kỳ thông tin nào về 'Approval Matrix for System Access' hoặc 'Access Control SOP'.,baseline_dense
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần [1].,"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.","[{'access': 'internal', 'section': 'Phần 4: Remote work policy', 'source': 'hr/leave-policy-2026.pdf', 'department': 'HR', 'effective_date': '2026-01-01'}, {'access': 'internal', 'department': 'HR', 'effective_date': '2026-01-01', 'source': 'hr/leave-policy-2026.pdf', 'section': 'Phần 1: Các loại nghỉ phép'}, {'section': 'Phần 2: Quy trình xin nghỉ phép', 'source': 'hr/leave-policy-2026.pdf', 'access': 'internal', 'department': 'HR', 'effective_date': '2026-01-01'}]",5,Tất cả thông tin trong câu trả lời đều xuất phát từ tài liệu retrieved.,5,Câu trả lời đã trực tiếp và đầy đủ giải quyết trọng tâm của câu hỏi.,5,Recall=100% (1/1),4,Câu trả lời đã đưa ra thông tin về số ngày làm remote tối đa trong tuần nhưng thiếu thông tin về việc cần được Team Lead phê duyệt.,baseline_dense
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Không đủ dữ liệu trong tài liệu hiện có để trả lời câu hỏi này.,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.","[{'section': 'Section 7: Công cụ liên quan', 'department': 'IT Security', 'effective_date': '2026-01-01', 'access': 'internal', 'source': 'it/access-control-sop.md'}, {'effective_date': '2026-01-15', 'section': 'Phần 5: Lịch sử phiên bản', 'source': 'support/sla-p1-2026.pdf', 'department': 'IT', 'access': 'internal'}, {'source': 'support/helpdesk-faq.md', 'department': 'IT', 'section': 'Section 6: Liên hệ IT Helpdesk', 'effective_date': '2026-01-20', 'access': 'internal'}]",5,Câu trả lời không cung cấp thông tin cụ thể nào nên không có thông tin nào không trung thực so với ngữ cảnh.,1,Câu trả lời không cung cấp thông tin về lỗi ERR-403-AUTH và cách xử lý nó.,,No expected sources (abstain question),3,Câu trả lời đã nêu rõ không tìm thấy thông tin về lỗi ERR-403-AUTH nhưng thiếu thông tin về việc lỗi có thể liên quan đến xác thực và gợi ý liên hệ IT Helpdesk.,baseline_dense
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",Không đủ dữ liệu trong tài liệu hiện có để trả lời câu hỏi này.,"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.","[{'department': 'IT Security', 'access': 'internal', 'effective_date': '2026-01-01', 'source': 'it/access-control-sop.md', 'section': 'Section 4: Escalation khi cần thay đổi quyền hệ thống'}, {'department': 'CS', 'effective_date': '2026-02-01', 'section': 'Điều 4: Quy trình xử lý yêu cầu hoàn tiền', 'access': 'internal', 'source': 'policy/refund-v4.pdf'}, {'source': 'hr/leave-policy-2026.pdf', 'section': 'Phần 2: Quy trình xin nghỉ phép', 'effective_date': '2026-01-01', 'access': 'internal', 'department': 'HR'}]",5,Câu trả lời không đưa ra bất kỳ thông tin nào không có trong ngữ cảnh đã được truy xuất.,1,Câu trả lời không cung cấp thông tin về quy trình hoàn tiền khẩn cấp cho khách hàng VIP.,5,Recall=100% (1/1),1,"Câu trả lời không cung cấp bất kỳ thông tin nào về quy trình hoàn tiền, dù cho khách hàng VIP hay không, trong khi câu trả lời mong đợi đề cập đến quy trình tiêu chuẩn áp dụng cho tất cả khách hàng.",baseline_dense
